dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,diff,total,avg_per
15_1,01-07-2022,18794,2787068800,19878,2868325989,81257189,5655394789,51%
18_1,01-08-2022,3559,127143504,3752,130819001,3675497,257962505,51%
14_5,01-10-2021,695,30798357,744,31681987,883630,62480344,51%
15_1,01-05-2021,4750,396668147,4619,407873854,11205707,804542001,51%
18_1,01-02-2023,3920,122757854,4181,126174222,3416368,248932076,51%
19_3,01-04-2022,2099,56079042,2255,57628834,1549792,113707876,51%
20_4,01-01-2023,1343,48484643,1457,49799397,1314754,98284040,51%
18_2,01-06-2022,1692,43621441,1752,44791520,1170079,88412961,51%
18_1,01-03-2021,6056,116813896,6373,119947201,3133305,236761097,51%
14_5,01-03-2021,1094,12617140,1112,12954135,336995,25571275,51%
22_1,01-01-2021,5518,162226288,5902,166512471,4286183,328738759,51%
20_2,01-03-2022,1816,56853606,1896,58345086,1491480,115198692,51%
14_1,01-01-2023,2326,73940840,2428,75877587,1936747,149818427,51%
23_2,01-03-2022,3199,104303613,3622,106924561,2620948,211228174,51%
15_1,01-11-2022,19783,3003051570,20894,3078030940,74979370,6081082510,51%
23_1,01-03-2023,5806,132022152,5997,135318190,3296038,267340342,51%
15_1,01-01-2021,29331,2927198637,30526,2998803477,71604840,5926002114,51%
17_3,01-10-2022,2725,65936215,2913,67545703,1609488,133481918,51%
21_6,01-07-2022,795,19927185,866,20409998,482813,40337183,51%
19_3,01-06-2022,1943,56935498,1986,58314002,1378504,115249500,51%
23_3,01-04-2021,6310,92841579,6473,95086207,2244628,187927786,51%
19_1,01-10-2022,804,25801418,795,26421001,619583,52222419,51%
23_3,01-12-2020,1891,96353374,2487,98656120,2302746,195009494,51%
17_1,01-11-2022,1049,53149411,1221,54417566,1268155,107566977,51%
14_2,01-07-2022,1314,26238211,1368,26848536,610325,53086747,51%
14_3,01-12-2020,826,11688937,863,11959717,270780,23648654,51%
14_4,01-01-2022,2338,50976287,2465,52110450,1134163,103086737,51%
23_1,01-08-2022,3837,104828788,3892,107144224,2315436,211973012,51%
